state	year	county	precinct	cd	cd2	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USH_dv2	g2004_USH_rv2	g2004_USH_tv2
"AL"	2004	"AUTAUGA"	"ABSENTEE VOTERS"	2		163	655	824	139	644	786	136	653	790			
"AL"	2004	"AUTAUGA"	"AUTAUGA COUNTY COURTHOUSE"	2		482	284	769	420	327	748	434	307	742			
"AL"	2004	"AUTAUGA"	"AUTAUGAVILLE VOL_ FIRE DEPT_"	2		338	311	652	290	346	637	298	328	627			
"AL"	2004	"AUTAUGA"	"BILLINGSLEY GOVERNMENT BLDG_"	2		71	339	411	47	353	401	57	344	401			
"AL"	2004	"AUTAUGA"	"BOOTH VOL_ FIRE"	2		160	349	511	136	366	502	140	361	501			
"AL"	2004	"AUTAUGA"	"CAMELLIA BAPTIST CHURCH"	2		354	1029	1392	295	1065	1364	299	1048	1352			
"AL"	2004	"AUTAUGA"	"EAST MEMORIAL BAPT_ CHURCH .1"	2		65	410	480	50	429	479	56	414	471			
"AL"	2004	"AUTAUGA"	"EAST MEMORIAL BAPT_ CHURCH .2"	2		204	1234	1453	162	1271	1434	181	1235	1419			
"AL"	2004	"AUTAUGA"	"INDEPENDENCE VOTING HOUSE"	2		221	195	418	204	204	408	197	205	402			
"AL"	2004	"AUTAUGA"	"JONES COMMUNITY CENTER"	2		116	180	296	88	193	282	92	182	276			
"AL"	2004	"AUTAUGA"	"LIVING WATER CHURCH .1"	2		195	812	1013	155	842	997	161	828	992			
"AL"	2004	"AUTAUGA"	"LIVING WATER CHURCH .2"	2		305	1092	1413	259	1128	1390	266	1109	1377			
"AL"	2004	"AUTAUGA"	"MARBURY COMMUNITY CENTER"	2		170	484	662	157	496	653	160	484	644			
"AL"	2004	"AUTAUGA"	"MULBERRY STATESVILLE COMM_"	2		253	106	361	221	128	349	221	127	348			
"AL"	2004	"AUTAUGA"	"OLD KINGSTON VOTING SITE"	2		321	284	608	294	299	595	297	295	594			
"AL"	2004	"AUTAUGA"	"PINE LEVEL FIRE STATION .1"	2		104	681	790	91	689	780	89	683	773			
"AL"	2004	"AUTAUGA"	"PINE LEVEL FIRE STATION .2"	2		125	931	1062	92	950	1043	103	935	1040			
"AL"	2004	"AUTAUGA"	"PRATTMONT BAPTIST CHURCH"	2		208	965	1180	169	1000	1171	176	985	1164			
"AL"	2004	"AUTAUGA"	"PROVISIONAL"	2		0	1	1	0	1	1	0	1	1			
"AL"	2004	"AUTAUGA"	"TRINITY UNITED METHODIST .1"	2		194	1190	1392	143	1224	1371	159	1192	1355			
"AL"	2004	"AUTAUGA"	"TRINITY UNITED METHODIST .2"	2		320	1886	2216	236	1933	2174	255	1898	2156			
"AL"	2004	"AUTAUGA"	"UPPER KINGSTON COMM_ CNTR .1"			0	0	0	0	0	0						
"AL"	2004	"AUTAUGA"	"UPPER KINGSTON COMM_ CNTR .2"	2		322	1511	1842	258	1562	1820	255	1546	1803			
"AL"	2004	"AUTAUGA"	"WHITE CITY FIRE"	2		67	267	335	54	278	333	55	275	331			
"AL"	2004	"BALDWIN"	"ABSENTEE VOTERS"	1		664	2141	2834	574	2203	2780	665	2118	2786			
"AL"	2004	"BALDWIN"	"BARNWELL COMMUNITY CENTER"	1		282	1209	1503	238	1239	1478	339	1143	1486			
"AL"	2004	"BALDWIN"	"BAY MINETTE CITY HALL CIVIC .1"	1		413	1553	1982	348	1596	1947	474	1482	1959			
"AL"	2004	"BALDWIN"	"BAY MINETTE CITY HALL CIVIC .2"	1		155	746	910	141	752	893	201	703	905			
"AL"	2004	"BALDWIN"	"BAY MINETTE CITY HALL CIVIC .3"	1		92	294	388	77	306	385	98	290	388			
"AL"	2004	"BALDWIN"	"BELFOREST COMMUNITY CENTER .1"	1		76	463	541	68	462	533	90	449	540			
"AL"	2004	"BALDWIN"	"BELFOREST COMMUNITY CENTER .2"			0	0	0	0	0	0						
"AL"	2004	"BALDWIN"	"BON SECOUR MORGANS CHAPEL"	1		164	712	885	148	722	870	198	669	872			
"AL"	2004	"BALDWIN"	"BROMLEY CROSSROADS VOL FIRE"	1		146	264	413	141	263	404	161	245	406			
"AL"	2004	"BALDWIN"	"CLEARSPRINGS FELLOWSHIP HALL"	1		9	88	97	11	85	97	13	82	96			
"AL"	2004	"BALDWIN"	"CROSSROADS DURANT CHAPEL"	1		107	285	400	106	287	393	129	267	396			
"AL"	2004	"BALDWIN"	"DAPHNE CIVIC CENTER .1"	1		501	1189	1712	437	1240	1679	522	1169	1694			
"AL"	2004	"BALDWIN"	"DAPHNE CIVIC CENTER .2"	1		495	1205	1711	411	1264	1678	523	1159	1684			
"AL"	2004	"BALDWIN"	"DAPHNE CIVIC CENTER .3"	1		390	1091	1497	348	1123	1471	417	1056	1475			
"AL"	2004	"BALDWIN"	"DAPHNE CIVIC CENTER .4"	1		710	1295	2025	628	1364	1994	722	1271	1995			
"AL"	2004	"BALDWIN"	"DAPHNE HIGH SCHOOL .1"	1		2	4	6	2	4	6	2	4	6			
"AL"	2004	"BALDWIN"	"DAPHNE HIGH SCHOOL .2"	1		516	1775	2317	404	1866	2278	532	1752	2292			
"AL"	2004	"BALDWIN"	"DOUGLASVILLE COMMUNITY CENTER"	1		289	55	348	271	72	344	281	62	343			
"AL"	2004	"BALDWIN"	"ELBERTA CIVIC CENTER"	1		263	1045	1320	225	1069	1298	307	998	1306			
"AL"	2004	"BALDWIN"	"ELSANOR COMMUNITY CENTER"	1		124	613	752	111	617	730	149	587	736			
"AL"	2004	"BALDWIN"	"FAIRHOPE CIVIC CENTER .1"	1		406	1118	1547	352	1169	1525	437	1091	1532			
"AL"	2004	"BALDWIN"	"FAIRHOPE CIVIC CENTER .2"	1		635	1728	2382	523	1812	2338	647	1709	2359			
"AL"	2004	"BALDWIN"	"FAIRHOPE CIVIC CENTER .3"	1		728	1932	2697	593	2047	2644	745	1916	2663			
"AL"	2004	"BALDWIN"	"FAIRHOPE CIVIC CENTER .4"			0	0	0	0	0	0						
"AL"	2004	"BALDWIN"	"FERGUSON STORE - LITTLE RIVER"	1		44	83	129	43	83	126	39	88	127			
"AL"	2004	"BALDWIN"	"FOLEY CIVIC CENTER .1"	1		474	1207	1696	434	1241	1676	489	1184	1673			
"AL"	2004	"BALDWIN"	"FOLEY CIVIC CENTER .2"	1		467	1238	1716	396	1284	1685	461	1228	1691			
"AL"	2004	"BALDWIN"	"FOLEY CIVIC CENTER .3"	1		113	244	358	99	246	346	108	242	350			
"AL"	2004	"BALDWIN"	"FORT MORGAN VFD STATION .2"	1		123	342	469	97	360	457	121	339	460			
"AL"	2004	"BALDWIN"	"GATESWOOD FIRE STATION"	1		22	157	181	17	160	177	24	154	178			
"AL"	2004	"BALDWIN"	"GULF SHORES ACTIVITY CENTER .1"	1		155	689	848	134	700	835	184	651	836			
"AL"	2004	"BALDWIN"	"GULF SHORES ACTIVITY CENTER .2"	1		366	1411	1789	318	1441	1762	446	1319	1768			
"AL"	2004	"BALDWIN"	"GULF SHORES ACTIVITY CENTER .3"	1		237	928	1182	204	956	1162	277	890	1168			
"AL"	2004	"BALDWIN"	"JOSEPHINE FIRE HOUSE"	1		79	324	406	67	333	400	70	331	401			
"AL"	2004	"BALDWIN"	"LILLIAN METHODIST CHURCH .1"	1		435	1039	1498	373	1089	1466	476	990	1471			
"AL"	2004	"BALDWIN"	"LILLIAN METHODIST CHURCH .2"	1		316	894	1228	275	928	1205	351	859	1212			
"AL"	2004	"BALDWIN"	"LOTTIE FIRE DEPARTMENT"	1		27	96	126	27	95	122	30	92	122			
"AL"	2004	"BALDWIN"	"LOXLEY ELLISVILLE COMM CENTER"	1		140	151	294	133	156	290	145	147	292			
"AL"	2004	"BALDWIN"	"LOXLEY TOWN HALL"	1		116	726	853	109	734	845	155	692	848			
"AL"	2004	"BALDWIN"	"MAGNOLIA SPRINGS WESLEYAN .1"	1		171	645	824	149	668	818	196	626	822			
"AL"	2004	"BALDWIN"	"MAGNOLIA SPRINGS WESLEYAN .2"	1		249	904	1167	213	932	1149	269	884	1155			
"AL"	2004	"BALDWIN"	"MARLOW VOLUNTEER FIRE"	1		299	1122	1454	264	1162	1427	339	1088	1429			
"AL"	2004	"BALDWIN"	"MIFLIN COMMUNITY CENTER"	1		292	1069	1370	258	1093	1355	326	1033	1359			
"AL"	2004	"BALDWIN"	"ORANGE BEACH COMM CENTER .1"	1		348	1767	2126	281	1814	2096	417	1681	2099			
"AL"	2004	"BALDWIN"	"ORANGE BEACH COMM CENTER .2"	1		191	998	1200	149	1028	1179	241	937	1179			
"AL"	2004	"BALDWIN"	"PERDIDO BEACH FIRE HOUSE"	1		115	384	505	103	392	497	153	346	499			
"AL"	2004	"BALDWIN"	"PERDIDO ELEMENTARY SCHOOL"	1		105	365	475	104	367	471	139	331	471			
"AL"	2004	"BALDWIN"	"PINE GROVE SCHOOL"	1		172	568	752	156	578	735	204	536	740			
"AL"	2004	"BALDWIN"	"POINT CLEAR ST_ FRANCIS"	1		220	444	679	193	472	666	223	450	673			
"AL"	2004	"BALDWIN"	"PROVISIONAL"	1		20	61	81	19	60	79	22	57	79			
"AL"	2004	"BALDWIN"	"RABUN FIRE HOUSE"	1		70	282	352	60	286	346	91	256	347			
"AL"	2004	"BALDWIN"	"ROBERTSDALE CITY HALL .1"	1		284	1308	1609	260	1324	1588	328	1261	1591			
"AL"	2004	"BALDWIN"	"ROBERTSDALE CITY HALL .2"	1		49	298	351	40	300	340	62	282	344			
"AL"	2004	"BALDWIN"	"ROCKWELL ELEM_ SCHOOL"	1		303	1289	1633	269	1329	1599	353	1256	1611			
"AL"	2004	"BALDWIN"	"ROSINTON ELEMENTARY SCHOOL"	1		124	840	970	101	849	951	168	790	959			
"AL"	2004	"BALDWIN"	"S_ RIVERPARK CHURCH OF GOD .1"	1		269	1120	1403	247	1127	1377	325	1057	1382			
"AL"	2004	"BALDWIN"	"S_ RIVERPARK CHURCH OF GOD .2"	1		330	1449	1794	274	1497	1772	367	1408	1778			
"AL"	2004	"BALDWIN"	"SEMINOLE FIRE HOUSE"	1		71	345	418	63	339	403	88	317	405			
"AL"	2004	"BALDWIN"	"SILVERHILL TOWN HALL"	1		210	1168	1383	187	1172	1362	248	1124	1375			
"AL"	2004	"BALDWIN"	"SPANISH FORT FIRE DEPARTMENT"	1		249	1149	1414	188	1208	1399	260	1143	1407			
"AL"	2004	"BALDWIN"	"SPANISH FORT SCHOOL .1"	1		439	2221	2687	367	2269	2642	526	2131	2658			
"AL"	2004	"BALDWIN"	"SPANISH FORT SCHOOL .2"	1		13	37	51	12	38	50	18	33	51			
"AL"	2004	"BALDWIN"	"STAPLETON COMMUNITY HALL"	1		104	645	756	90	644	736	123	619	743			
"AL"	2004	"BALDWIN"	"STOCKTON FIRE HOUSE"	1		62	317	382	58	323	383	78	304	383			
"AL"	2004	"BALDWIN"	"SUMMERDALE COMMUNITY CENTER"	1		189	1098	1304	161	1102	1268	228	1051	1281			
"AL"	2004	"BALDWIN"	"TENSAW COMMUNITY CENTER"	1		78	28	107	74	33	107	77	28	105			
"AL"	2004	"BALDWIN"	"VAUGHN COMMUNITY CENTER"	1		176	147	346	181	159	340	195	145	340			
"AL"	2004	"BALDWIN"	"WHITE HOUSE VOLUNTEER FIRE"	1		116	569	687	105	570	677	145	535	681			
"AL"	2004	"BARBOUR"	"ABSENTEE VOTERS"	2		222	352	575	186	370	558	194	362	557			
"AL"	2004	"BARBOUR"	"BAKERHILL VOLUNTEER FIRE"	2		177	227	405	154	239	394	164	230	395			
"AL"	2004	"BARBOUR"	"BAKERS STORE"	2		26	75	101	18	70	89	20	70	90			
"AL"	2004	"BARBOUR"	"BEVILL CENTER"	2		148	544	695	112	570	682	127	542	672			
"AL"	2004	"BARBOUR"	"BLUE SPRINGS CITY HALL"	2		56	256	313	46	256	304	45	259	305			
"AL"	2004	"BARBOUR"	"CLAYTON COURTHOUSE"	2		629	430	1068	471	520	994	502	481	984			
"AL"	2004	"BARBOUR"	"CLIO CITY HALL"	2		239	307	546	189	340	529	192	328	522			
"AL"	2004	"BARBOUR"	"COGGINS STORE BUILDING"	2		15	55	70	11	56	67	13	55	68			
"AL"	2004	"BARBOUR"	"COWIKEE VOLUNTEER FIRE"	2		56	51	107	43	54	97	48	52	100			
"AL"	2004	"BARBOUR"	"ELAHVILLE VOLUNTEER FIRE"	2		24	72	96	18	75	93	17	77	94			
"AL"	2004	"BARBOUR"	"EUFAULA WATER BOARD"	2		498	383	884	443	406	849	447	389	840			
"AL"	2004	"BARBOUR"	"FELLOWSHIP BAPTIST CHURCH"	2		197	639	838	182	627	810	194	608	805			
"AL"	2004	"BARBOUR"	"GREENS CROSS ROADS"	2		63	59	123	36	74	110	39	69	108			
"AL"	2004	"BARBOUR"	"JOHNNY BOYDS STORE"	2		62	92	154	52	96	148	54	93	147			
"AL"	2004	"BARBOUR"	"JUNIOR TURNERS STORE"	2		46	34	80	40	34	74	39	36	75			
"AL"	2004	"BARBOUR"	"LOUISVILLE CITY HALL"	2		246	251	499	199	277	476	209	270	479			
"AL"	2004	"BARBOUR"	"MCCOO SCHOOL"	2		657	420	1079	565	456	1022	584	428	1014			
"AL"	2004	"BARBOUR"	"MT ANDREWS RECREATION CENTER"	2		129	29	159	112	39	151	113	38	151			
"AL"	2004	"BARBOUR"	"NEW ARMORY"	2		439	640	1087	361	695	1057	372	678	1052			
"AL"	2004	"BARBOUR"	"PROVISIONAL"	2		6	6	12	4	5	9	3	6	9			
"AL"	2004	"BARBOUR"	"RICHARDS CABINET SHOP"	2		45	69	114	40	71	111	38	73	112			
"AL"	2004	"BARBOUR"	"SANFOOD GYM"	2		452	574	1038	350	649	1001	361	628	992			
"AL"	2004	"BARBOUR"	"SPRINGHILL VOLUNTEER FIRE"	2		237	98	335	208	106	314	201	107	308			
"AL"	2004	"BARBOUR"	"SUTTONS RESTAURANT"	2		46	63	109	40	63	103	40	64	104			
"AL"	2004	"BARBOUR"	"WHITE OAK METHODIST CHURCH"	2		117	173	290	109	175	285	112	169	282			
"AL"	2004	"BIBB"	"Absentee"	6		18	95	114	14	98	112	0	92	92			
"AL"	2004	"BIBB"	"Brent-North"	6		245	780	1026	183	837	1021	0	849	854			
"AL"	2004	"BIBB"	"Brent-South"	6		289	210	505	285	236	522	0	260	264			
"AL"	2004	"BIBB"	"Cedar Grove"	6		97	223	321	89	229	319	0	232	235			
"AL"	2004	"BIBB"	"Centreville"	6		140	652	795	107	678	786	0	666	671			
"AL"	2004	"BIBB"	"Centreville - Central"	6		139	110	251	129	123	252	0	121	124			
"AL"	2004	"BIBB"	"Eoline"	6		87	277	366	79	284	364	0	288	292			
"AL"	2004	"BIBB"	"Furnace"	6		164	519	685	133	552	685	0	563	570			
"AL"	2004	"BIBB"	"Greenpond"	6		213	1139	1362	184	1172	1358	0	1186	1200			
"AL"	2004	"BIBB"	"Harrisburg"	6		147	116	263	148	122	270	0	130	133			
"AL"	2004	"BIBB"	"Pondville"	6		18	202	222	13	210	223	0	205	207			
"AL"	2004	"BIBB"	"Provisional"	6		0	1	1	0	1	1	0	1	1			
"AL"	2004	"BIBB"	"Randolph"	6		93	235	330	74	257	331	0	240	243			
"AL"	2004	"BIBB"	"Tabernacle"	6		15	94	109	13	91	104	0	84	84			
"AL"	2004	"BIBB"	"West Blockton - East"	6		46	138	186	44	141	185	0	149	150			
"AL"	2004	"BIBB"	"West Blockton - West"	6		378	681	1064	333	732	1065	0	763	775			
"AL"	2004	"BLOUNT"	"ABSENTEE VOTERS"	4		96	421	520	75	432	508	80	424	506			
"AL"	2004	"BLOUNT"	"ALLGOOD"	4		66	380	446	52	385	438	57	377	435			
"AL"	2004	"BLOUNT"	"BLOUNT SPRINGS"	4		49	226	277	45	231	276	45	227	273			
"AL"	2004	"BLOUNT"	"BLOUNTSVILLE"	4		361	1081	1453	307	1108	1416	316	1101	1417			
"AL"	2004	"BLOUNT"	"BROOKSVILLE"	4		93	286	385	67	299	368	67	302	370			
"AL"	2004	"BLOUNT"	"CLEVELAND"	4		269	740	1020	220	776	997	225	767	994			
"AL"	2004	"BLOUNT"	"DALLAS - SELFVILLE"	4		177	930	1115	155	935	1094	177	906	1086			
"AL"	2004	"BLOUNT"	"HAYDEN"	4		277	1576	1868	258	1582	1844	266	1561	1827			
"AL"	2004	"BLOUNT"	"HOLLY SPRINGS"	4		25	239	268	19	243	262	18	243	261			
"AL"	2004	"BLOUNT"	"LOCUST FORK"	4		193	1020	1218	162	1034	1198	180	1006	1191			
"AL"	2004	"BLOUNT"	"MT_ HIGH"	4		220	1098	1331	192	1119	1313	206	1097	1308			
"AL"	2004	"BLOUNT"	"MURPHREE VALLEY"	4		79	501	585	62	510	573	77	490	570			
"AL"	2004	"BLOUNT"	"NECTAR"	4		154	675	835	121	689	812	132	683	815			
"AL"	2004	"BLOUNT"	"ONEONTA . 1"	4		272	818	1098	220	858	1082	223	848	1074			
"AL"	2004	"BLOUNT"	"ONEONTA . 2"	4		270	925	1203	216	958	1175	217	958	1176			
"AL"	2004	"BLOUNT"	"PINE MOUNTAIN"	4		55	313	375	50	324	374	51	324	375			
"AL"	2004	"BLOUNT"	"PROVISIONAL"	4		6	22	28	5	22	27	7	21	28			
"AL"	2004	"BLOUNT"	"REMLAP"	4		112	859	977	91	862	959	107	841	952			
"AL"	2004	"BLOUNT"	"ROCK SPRINGS"	4		83	350	437	67	361	428	65	359	424			
"AL"	2004	"BLOUNT"	"ROSA"	4		134	515	651	105	536	642	117	516	634			
"AL"	2004	"BLOUNT"	"ROYAL"	4		93	249	346	78	261	339	80	259	339			
"AL"	2004	"BLOUNT"	"SMOKE RISE"	4		137	890	1041	113	913	1029	126	893	1020			
"AL"	2004	"BLOUNT"	"SNEAD"	4		207	807	1022	172	833	1006	168	830	999			
"AL"	2004	"BLOUNT"	"ST_ MOUNTAIN"	4		191	1297	1498	150	1309	1462	158	1295	1455			
"AL"	2004	"BLOUNT"	"SUGAR CREEK - BANGOR"	4		68	353	429	66	359	426	64	352	417			
"AL"	2004	"BLOUNT"	"SUMMIT"	4		120	229	355	113	239	352	115	235	352			
"AL"	2004	"BLOUNT"	"SUSAN MOORE"	4		131	586	723	103	603	707	113	589	705			
"AL"	2004	"BULLOCK"	"ABERFOIL"	2		124	70	194	109	70	179	111	65	176			
"AL"	2004	"BULLOCK"	"ABSENTEE VOTERS"	2		115	98	214	97	108	205	99	106	205			
"AL"	2004	"BULLOCK"	"CORINTH"	2		23	27	50	20	30	50	20	30	50			
"AL"	2004	"BULLOCK"	"CORNERSTONE"	2		170	50	221	153	54	207	155	54	209			
"AL"	2004	"BULLOCK"	"FITZPATRICK"	2		101	167	269	76	177	253	82	172	255			
"AL"	2004	"BULLOCK"	"GUERRYTON"	2		71	3	74	68	5	73	68	5	73			
"AL"	2004	"BULLOCK"	"INDIAN CREEK"	2		84	42	127	62	52	114	67	45	112			
"AL"	2004	"BULLOCK"	"INVERNESS"	2		32	68	101	25	69	94	25	68	93			
"AL"	2004	"BULLOCK"	"MIDWAY"	2		510	45	556	432	83	516	430	79	510			
"AL"	2004	"BULLOCK"	"PEACHBURG"	2		79	23	103	66	29	95	68	27	95			
"AL"	2004	"BULLOCK"	"PEROTE"	2		57	81	139	43	90	133	43	90	133			
"AL"	2004	"BULLOCK"	"POST OAK"	2		65	192	259	58	195	253	58	194	252			
"AL"	2004	"BULLOCK"	"PROVISIONAL"			0	0	0	0	0	0						
"AL"	2004	"BULLOCK"	"SARDIS"	2		125	31	156	111	37	148	111	33	144			
"AL"	2004	"BULLOCK"	"THOMPSON NEW MT_ PLEASANT BAP_"	2		65	55	120	46	63	109	49	59	108			
"AL"	2004	"BULLOCK"	"THREE NOTCH"	2		66	16	82	48	22	70	46	21	67			
"AL"	2004	"BULLOCK"	"UNION SPRINGS ARMORY .1"	2		959	201	1161	829	263	1092	846	242	1089			
"AL"	2004	"BULLOCK"	"UNION SPRINGS ARMORY .2"	2		564	325	891	497	354	851	516	332	848			
"AL"	2004	"BUTLER"	"Absentee Voters"	2		120	172	292	100	178	280	102	175	278			
"AL"	2004	"BUTLER"	"Bolling Voting House"	2		34	94	128	30	96	126	37	88	125			
"AL"	2004	"BUTLER"	"Center Hill - Voting House"	2		77	32	109	74	35	109	74	35	109			
"AL"	2004	"BUTLER"	"Central Volunteer Fire Department"	2		211	195	407	198	203	401	201	199	401			
"AL"	2004	"BUTLER"	"Chapman Post Office"	2		52	140	193	36	151	188	40	149	189			
"AL"	2004	"BUTLER"	"Dunbar Community Center #1"	2		295	107	402	271	125	396	277	119	396			
"AL"	2004	"BUTLER"	"Dunbar Community Center #2"	2		290	101	392	268	116	384	278	109	387			
"AL"	2004	"BUTLER"	"Forest Home - Voting House"	2		55	97	153	40	106	146	41	103	144			
"AL"	2004	"BUTLER"	"Friendship"	2		21	129	150	15	136	151	13	132	145			
"AL"	2004	"BUTLER"	"Garland - Voting House"	2		91	159	252	65	174	239	70	169	239			
"AL"	2004	"BUTLER"	"Georgiana Armory #1"	2		194	136	331	171	143	314	174	143	319			
"AL"	2004	"BUTLER"	"Georgiana Armory #2"	2		288	229	517	255	252	507	257	250	507			
"AL"	2004	"BUTLER"	"Harrison - Voting House"	2		28	189	217	26	188	214	29	185	214			
"AL"	2004	"BUTLER"	"Health Department #1"	2		117	387	504	90	407	498	87	408	496			
"AL"	2004	"BUTLER"	"Health Department #2"	2		184	494	680	149	515	664	153	509	662			
"AL"	2004	"BUTLER"	"Industry"	2		19	116	135	14	116	130	15	113	128			
"AL"	2004	"BUTLER"	"Manningham - Voting House"	2		116	98	217	102	112	214	103	109	212			
"AL"	2004	"BUTLER"	"McKenzie Town Hall"	2		141	215	358	121	230	351	123	228	351			
"AL"	2004	"BUTLER"	"McLains - Voting House"	2		102	339	443	80	352	432	86	344	431			
"AL"	2004	"BUTLER"	"Midway Voting House"	2		89	151	240	85	151	236	82	153	235			
"AL"	2004	"BUTLER"	"Monterey - Old School House"	2		20	21	41	17	19	36	18	18	36			
"AL"	2004	"BUTLER"	"New Armory #1"	2		353	326	682	320	345	666	321	347	669			
"AL"	2004	"BUTLER"	"New Armory #2"	2		253	297	550	248	290	540	241	296	538			
"AL"	2004	"BUTLER"	"Providence - Voting House"	2		128	289	419	102	288	391	105	283	388			
"AL"	2004	"BUTLER"	"Provisional"	2		4	1	5	0	3	5	3	2	5			
"AL"	2004	"BUTLER"	"Rocky Creek - Voting House"	2		59	220	280	44	230	274	41	231	272			
"AL"	2004	"BUTLER"	"Searcy - Volunteer Fire Dept."	2		41	121	163	29	132	161	33	128	161			
"AL"	2004	"BUTLER"	"Steiners Store"	2		31	124	156	19	130	149	23	123	146			
"AL"	2004	"CALHOUN"	"1ST UNITED METHODIST-WEAVER .1"	3		253	678	945	190	734	925	194	736	930			
"AL"	2004	"CALHOUN"	"1ST UNITED METHODIST-WEAVER .2"	3		278	811	1105	217	859	1078	209	880	1090			
"AL"	2004	"CALHOUN"	"ABSENTEE VOTERS"	3		404	933	1340	322	988	1312	310	1004	1314			
"AL"	2004	"CALHOUN"	"ALEXANDRIA-CIVITAN CLUB CNTR"	3		463	1547	2023	367	1610	1978	358	1643	2002			
"AL"	2004	"CALHOUN"	"ANNISTON - CARVER CENTER"	3		403	18	421	350	61	411	350	61	411			
"AL"	2004	"CALHOUN"	"ANNISTON - FIRST PRESBYTERIAN"	3		452	422	886	352	517	871	380	494	874			
"AL"	2004	"CALHOUN"	"ANNISTON - MEETING CENTER"	3		597	99	700	535	146	681	503	188	691			
"AL"	2004	"CALHOUN"	"ANNISTON - MENTAL HEALTH CNTR"	3		161	309	473	103	359	464	128	342	470			
"AL"	2004	"CALHOUN"	"ANNISTON - THANKFUL BAPTIST"	3		320	49	369	284	76	360	282	78	362			
"AL"	2004	"CALHOUN"	"ANNISTON-F & WILMER FIRE ST_"	3		642	137	781	577	186	763	547	223	770			
"AL"	2004	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 1"	3		378	1053	1447	275	1154	1429	300	1130	1431			
"AL"	2004	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 2"	3		426	1014	1455	305	1131	1440	317	1128	1445			
"AL"	2004	"CALHOUN"	"ASBERRY BAPTIST CHURCH"	3		200	713	924	156	751	908	150	764	914			
"AL"	2004	"CALHOUN"	"BETHEL UNITED METHODIST CHURCH"	3		51	170	221	48	168	217	45	174	219			
"AL"	2004	"CALHOUN"	"BYNUM SCHOOL"	3		431	1426	1873	346	1499	1845	358	1493	1851			
"AL"	2004	"CALHOUN"	"CALHOUN COUNTY HEALTH DEPT_"	3		339	248	591	292	290	582	284	296	581			
"AL"	2004	"CALHOUN"	"CHOCCOLOCCO COMMUNITY CENTER"	3		205	575	787	155	612	769	166	606	772			
"AL"	2004	"CALHOUN"	"CHURCH OF THE COVENANT"	3		261	251	516	232	273	506	219	290	509			
"AL"	2004	"CALHOUN"	"COOSA VALLEY SADDLE CLUB"	3		83	342	427	62	352	414	72	342	414			
"AL"	2004	"CALHOUN"	"DEARMANVILLE SCHOOL"	3		147	561	715	114	586	702	123	580	705			
"AL"	2004	"CALHOUN"	"EULATON-UNITED METHODIST"	3		182	521	706	144	550	694	149	547	696			
"AL"	2004	"CALHOUN"	"FOUR MILE - METHODIST CHURCH"	3		96	312	410	75	329	404	79	327	406			
"AL"	2004	"CALHOUN"	"FRIENDSHIP BAPTIST CHURCH"	3		164	587	760	124	624	749	123	629	752			
"AL"	2004	"CALHOUN"	"FRIENDSHIP COMMUNITY CENTER"	3		224	1042	1278	164	1097	1261	171	1092	1266			
"AL"	2004	"CALHOUN"	"GLENWOOD MEADOWS MEETING ROOM"	3		472	640	1126	376	726	1103	375	733	1110			
"AL"	2004	"CALHOUN"	"GODS COVENANT MINISTRY"	3		171	354	528	129	383	513	128	393	523			
"AL"	2004	"CALHOUN"	"HOBSON CITY - CITY HALL"	3		301	25	326	244	68	312	235	84	319			
"AL"	2004	"CALHOUN"	"HOLLEYS CROSSROADS BAPTIST"	3		100	340	443	81	356	437	83	355	438			
"AL"	2004	"CALHOUN"	"JACKSONVILLE-FIRST BAPTIST"	3		410	941	1360	278	1055	1335	329	1016	1345			
"AL"	2004	"CALHOUN"	"JACKSONVILLE-WESTSIDE BAPTIST"	3		525	363	899	451	429	881	452	431	883			
"AL"	2004	"CALHOUN"	"LEATHERWOOD RD CIVIL DEFENSE"	3		254	844	1103	187	901	1090	179	919	1098			
"AL"	2004	"CALHOUN"	"MOORE AVENUE CHURCH OF CHRIST"	3		674	149	825	583	220	805	562	250	812			
"AL"	2004	"CALHOUN"	"NATIONAL GUARD ARMORY-JACKSNVL"	3		425	781	1213	332	857	1194	327	868	1196			
"AL"	2004	"CALHOUN"	"OHATCHEE FIRE STATION"	3		338	899	1250	279	946	1231	301	940	1243			
"AL"	2004	"CALHOUN"	"OXFORD - CHEAHA CLUBHOUSE C_C_"	3		155	449	607	123	469	593	120	477	598			
"AL"	2004	"CALHOUN"	"OXFORD - OXFORD LAKE PARK C_C_"	3		231	454	687	198	474	673	192	486	680			
"AL"	2004	"CALHOUN"	"OXFORD CITY HALL"	3		207	435	649	170	472	642	176	469	645			
"AL"	2004	"CALHOUN"	"OXFORD ELEMENTARY SCHOOL .1"	3		205	858	1074	147	906	1054	143	912	1056			
"AL"	2004	"CALHOUN"	"OXFORD ELEMENTARY SCHOOL .2"	3		230	807	1042	179	849	1032	183	854	1039			
"AL"	2004	"CALHOUN"	"PIEDMONT COMMUNITY BUILDING"	3		136	209	347	118	217	335	115	221	336			
"AL"	2004	"CALHOUN"	"PIEDMONT FIRE STATION"	3		214	422	643	163	451	616	160	460	622			
