state	year	county	town	g2000_USP_rv	g2000_USP_dv	g2000_ATG_dv	g2000_ATG_iv	g2000_AUD_rv	g2000_AUD_dv	g2000_GOV_dv	g2000_GOV_rv	g2000_LTG_rv	g2000_LTG_dv	g2000_SOS_rv	g2000_SOS_dv	g2000_USH_rv	g2000_USH_iv	g2000_USS_dv	g2000_USS_rv
"VT"	2000	"Washington County"	"Marshfield"	323	384	591	144	363	400	357	322	321	413	265	527	128	578	223	515
"VT"	2000	"Washington County"	"Middlesex"	312	549	748	170	360	561	503	268	324	617	236	715	105	741	278	634
"VT"	2000	"Washington County"	"Montpelier W-5"	1192	2453	3177	619	1449	2456	2564	932	1115	2824	826	3217	382	3235	1186	2719
"VT"	2000	"Washington County"	"Montpelier W-L-1-1"	73	123	156	45	87	121	123	70	73	141	57	164	16	182	53	155
"VT"	2000	"Washington County"	"Moretown"	357	504	759	121	361	492	519	314	349	516	273	615	126	687	224	610
"VT"	2000	"Washington County"	"Northfield"	988	1130	1841	307	912	1211	1162	862	935	1226	643	1570	363	1636	551	1570
"VT"	2000	"Washington County"	"Plainfield"	241	374	529	175	248	452	378	235	234	439	198	529	93	562	273	411
"VT"	2000	"Washington County"	"Roxbury"	129	167	249	66	123	182	157	127	138	164	101	210	45	240	86	211
"VT"	2000	"Washington County"	"Waitsfield"	346	563	770	163	316	620	571	295	349	548	311	640	151	752	298	643
"VT"	2000	"Washington County"	"Warren"	278	566	691	186	280	570	521	251	283	488	244	630	127	674	336	511
"VT"	2000	"Washington County"	"Waterbury"	919	1360	1986	296	921	1357	1377	808	953	1368	761	1552	341	1824	542	1699
"VT"	2000	"Washington County"	"Woodbury"	197	213	348	77	169	252	206	186	183	250	176	269	74	319	122	293
"VT"	2000	"Washington County"	"Worcester"	181	264	405	91	205	278	272	166	192	295	141	365	60	405	138	353
"VT"	2000	"Windham County"	"Athens"	70	48	89	26	72	46	35	78	73	42	71	47	30	59	28	61
"VT"	2000	"Windham County"	"Brattleboro 2-1"	698	1143	1585	291	688	1182	1203	574	612	1266	602	1314	436	1358	644	1216
"VT"	2000	"Windham County"	"Brattleboro 2-2"	387	1013	1210	283	340	1105	1028	330	332	1131	343	1164	237	1153	679	775
"VT"	2000	"Windham County"	"Brattleboro 2-3"	401	972	1183	359	374	1132	1040	293	336	1143	346	1205	234	1192	685	801
"VT"	2000	"Windham County"	"Brookline"	97	132	209	21	78	127	117	103	104	119	98	135	78	129	74	148
"VT"	2000	"Windham County"	"Dover"	318	318	518	96	370	217	215	406	373	217	340	277	263	277	150	408
"VT"	2000	"Windham County"	"Dummerston"	341	570	806	136	309	618	631	279	301	661	318	636	209	709	356	594
"VT"	2000	"Windham County"	"Grafton"	153	187	276	55	167	154	158	174	165	153	157	175	88	194	84	222
"VT"	2000	"Windham County"	"Guilford"	324	515	742	163	332	558	561	278	292	595	299	645	209	673	343	551
"VT"	2000	"Windham County"	"Halifax"	188	205	283	78	185	188	168	213	200	175	189	202	110	200	129	204
"VT"	2000	"Windham County"	"Jamaica"	178	219	321	76	201	182	171	220	191	177	204	197	130	244	111	273
"VT"	2000	"Windham County"	"Londonderry"	418	397	685	119	441	334	371	420	386	311	424	386	280	490	171	624
"VT"	2000	"Windham County"	"Marlboro"	111	303	358	138	111	366	308	90	105	368	109	398	76	428	216	256
"VT"	2000	"Windham County"	"Newfane"	292	539	752	156	311	570	590	267	292	588	288	620	207	574	380	521
"VT"	2000	"Windham County"	"Putney"	246	768	845	249	250	803	793	232	238	835	244	860	181	868	525	565
"VT"	2000	"Windham County"	"Rockingham"	747	1308	1685	368	723	1301	1280	772	712	1321	722	1390	405	1485	698	1334
"VT"	2000	"Windham County"	"Stratton"	54	41	76	16	65	30	22	72	67	18	53	38	43	29	19	64
"VT"	2000	"Windham County"	"Townshend"	239	293	458	86	203	306	329	200	206	312	203	350	140	352	184	272
"VT"	2000	"Windham County"	"Vernon"	566	436	843	128	544	394	387	558	552	379	526	446	333	498	228	702
"VT"	2000	"Windham County"	"Wardsboro"	172	172	286	62	160	164	155	176	166	160	167	192	106	200	93	216
"VT"	2000	"Windham County"	"Westminster"	448	869	1113	271	447	934	897	414	417	946	433	985	255	1058	559	806
"VT"	2000	"Windham County"	"Whitingham"	318	249	431	105	326	208	169	388	371	180	357	208	220	269	127	372
"VT"	2000	"Windham County"	"Wilmington"	508	536	837	179	535	440	366	636	577	427	526	500	341	600	266	699
"VT"	2000	"Windham County"	"Windham"	84	86	135	40	86	76	91	72	77	70	85	93	61	88	54	102
"VT"	2000	"Windsor County"	"Andover"	138	111	207	46	152	101	124	133	131	118	135	129	91	139	42	198
"VT"	2000	"Windsor County"	"Baltimore"	58	39	79	23	52	47	37	61	45	49	54	48	32	60	27	71
"VT"	2000	"Windsor County"	"Barnard"	272	267	453	73	273	256	285	235	242	267	247	291	121	361	104	416
"VT"	2000	"Windsor County"	"Bethel"	387	487	746	144	386	430	496	345	390	494	366	523	147	606	211	617
"VT"	2000	"Windsor County"	"Bridgewater"	270	233	383	77	247	236	238	264	245	247	243	254	109	310	112	344
"VT"	2000	"Windsor County"	"Cavendish"	323	284	481	100	303	274	279	301	310	277	289	309	188	368	131	435
"VT"	2000	"Windsor County"	"Chester"	602	818	1153	202	573	784	866	513	514	835	565	826	340	917	374	976
"VT"	2000	"Windsor County"	"Hartford 2-1"	546	508	856	134	505	491	662	381	466	561	477	548	306	630	255	772
"VT"	2000	"Windsor County"	"Hartford 2-2"	1411	1954	2676	470	1264	1904	2201	1037	1165	2106	1255	2001	641	2325	954	2223
"VT"	2000	"Windsor County"	"Hartland"	759	764	1264	225	684	775	914	605	631	859	678	843	384	1053	369	1137
"VT"	2000	"Windsor County"	"Ludlow"	565	593	909	195	553	531	489	619	545	551	530	602	329	723	232	884
"VT"	2000	"Windsor County"	"Norwich"	424	1567	1613	213	440	1438	1746	286	366	1620	388	1570	307	1550	750	1277
"VT"	2000	"Windsor County"	"Plymouth"	155	144	250	56	153	150	133	173	163	135	154	149	98	188	75	220
"VT"	2000	"Windsor County"	"Pomfret"	228	315	468	68	247	287	355	172	209	337	212	334	130	384	126	413
"VT"	2000	"Windsor County"	"Reading"	146	199	287	53	152	183	210	126	139	196	140	201	83	238	82	268
"VT"	2000	"Windsor County"	"Rochester"	251	307	479	110	233	335	373	191	233	341	207	382	101	462	165	407
"VT"	2000	"Windsor County"	"Royalton"	601	546	989	205	589	573	596	553	561	592	547	667	255	793	314	827
"VT"	2000	"Windsor County"	"Sharon"	283	347	510	130	256	343	369	240	265	363	259	374	147	448	162	463
"VT"	2000	"Windsor County"	"Springfield 1-1"	326	380	575	109	309	366	444	257	277	426	304	405	160	473	173	502
"VT"	2000	"Windsor County"	"Springfield W-6"	1394	2006	2776	575	1372	1932	2228	1111	1127	2223	1231	2153	727	2351	903	2438
"VT"	2000	"Windsor County"	"Stockbridge"	132	194	263	65	142	170	193	129	138	186	130	198	68	204	82	229
"VT"	2000	"Windsor County"	"Weathersfield"	629	665	1026	224	570	635	684	562	546	691	585	688	367	820	325	921
"VT"	2000	"Windsor County"	"West Windsor"	281	305	507	71	274	280	331	240	249	313	269	313	180	356	109	475
"VT"	2000	"Windsor County"	"Weston"	146	183	286	50	166	155	200	123	135	166	147	189	106	215	69	253
"VT"	2000	"Windsor County"	"Windsor"	616	928	1269	266	581	905	1013	499	482	996	570	951	282	1068	452	1038
"VT"	2000	"Windsor County"	"Woodstock"	770	996	1425	235	783	882	1083	637	724	984	745	989	420	1198	380	1349
