state	year	town	ward	precinct	cd	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_ATG_dv	g2006_ATG_rv	g2006_ATG_tv	g2006_AUD_dv	g2006_AUD_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_GOV_tv	g2006_SOS_dv	g2006_SOS_tv	g2006_TRE_dv	g2006_TRE_tv	g2006_USS_dv	g2006_USS_rv	g2006_USS_tv
"MA"	2006	"Abington"		"1"	10	956	343	1402	986	412	1400	1049	1308	653	586	1450	1148	1330	1180	1344	894	518	1418
"MA"	2006	"Abington"		"2"	10	820	334	1238	864	364	1228	893	1148	570	528	1282	1009	1171	1024	1183	775	466	1242
"MA"	2006	"Abington"		"3"	10	920	367	1382	943	438	1381	1028	1269	627	628	1440	1127	1297	1172	1315	869	543	1414
"MA"	2006	"Abington"		"4"	10	1159	422	1668	1165	512	1678	1264	1533	766	750	1736	1400	1584	1434	1581	1100	598	1701
"MA"	2006	"Acton"		"1"	5	957		978	840	337	1177	844	1039	744	431	1248	849	1101	892	1072	850	372	1226
"MA"	2006	"Acton"		"2"	5	1053		1081	905	383	1289	943	1146	745	474	1335	927	1201	968	1175	901	393	1297
"MA"	2006	"Acton"		"3"	5	1284		1327	1176	430	1608	1130	1428	1015	521	1668	1103	1495	1168	1470	1154	480	1634
"MA"	2006	"Acton"		"4"	5	1161		1188	1049	359	1409	1060	1277	886	465	1483	1040	1335	1059	1303	1043	404	1449
"MA"	2006	"Acton"		"5"	5	1168		1196	1068	313	1381	1019	1229	903	403	1439	1018	1296	1054	1263	1031	377	1409
"MA"	2006	"Acton"		"6"	5	1013		1044	932	334	1268	919	1135	781	471	1331	913	1170	965	1164	877	404	1283
"MA"	2006	"Acushnet"		"1"	4	1011		1013	923	211	1134	878	1094	787	311	1181	961	1109	950	1108	924	238	1162
"MA"	2006	"Acushnet"		"2"	4	1116		1129	1018	318	1339	948	1250	866	419	1406	1082	1298	1063	1284	1006	370	1377
"MA"	2006	"Acushnet"		"3"	4	1106		1113	1008	305	1313	963	1238	825	420	1365	1075	1258	1074	1260	984	362	1349
"MA"	2006	"Adams"		"1"	1	406		479	420	66	486	400	457	379	95	489	427	465	409	460	397	87	484
"MA"	2006	"Adams"		"2"	1	470		562	502	59	561	459	540	447	104	571	493	547	491	545	472	90	562
"MA"	2006	"Adams"		"3"	1	441		554	469	84	554	451	525	426	114	565	459	525	466	523	449	106	557
"MA"	2006	"Adams"		"4"	1	393		472	427	54	481	397	448	386	86	486	403	455	409	452	403	77	480
"MA"	2006	"Adams"		"5"	1	527		622	557	71	628	501	591	499	113	644	532	596	534	594	533	95	629
"MA"	2006	"Agawam"		"1"	2	894		901	742	289	1032	758	979	587	392	1098	839	989	795	986	704	362	1067
"MA"	2006	"Agawam"		"2"	2	1123		1146	900	492	1393	1020	1284	716	634	1485	1103	1313	1059	1290	885	553	1443
"MA"	2006	"Agawam"		"3"	2	1033		1053	851	399	1250	898	1164	721	477	1320	977	1168	965	1167	849	441	1291
"MA"	2006	"Agawam"		"4"	2	928		943	791	367	1160	845	1061	632	477	1231	938	1089	892	1076	773	421	1194
"MA"	2006	"Agawam"		"5"	2	1088		1102	907	453	1362	954	1245	703	597	1442	1043	1268	1035	1262	877	515	1392
"MA"	2006	"Agawam"		"6"	2	962		976	774	424	1199	834	1086	574	550	1280	882	1102	887	1101	737	504	1245
"MA"	2006	"Agawam"		"7"	2	928		945	741	422	1163	797	1064	574	542	1248	874	1095	851	1090	730	485	1221
"MA"	2006	"Agawam"		"8"	2	1007		1022	832	421	1253	881	1141	640	566	1330	957	1167	946	1168	774	527	1302
"MA"	2006	"Alford"		"1"	1	206		242	187	53	240	180	219	200	48	252	190	227	191	224	183	48	231
"MA"	2006	"Amesbury"		"1"	6	768	400	1168	783	382	1166	803	1059	596	499	1214	874	1087	880	1078	721	456	1179
"MA"	2006	"Amesbury"		"2"	6	655	238	893	649	237	886	605	797	501	313	919	689	843	674	832	614	287	902
"MA"	2006	"Amesbury"		"3"	6	714	267	982	715	272	987	680	883	572	365	1035	739	924	736	913	700	315	1017
"MA"	2006	"Amesbury"		"4"	6	504	216	720	526	196	722	510	674	388	290	756	562	697	556	691	480	265	745
"MA"	2006	"Amesbury"		"5"	6	730	398	1129	741	368	1110	746	996	589	482	1174	840	1039	805	1014	701	448	1150
"MA"	2006	"Amesbury"		"6"	6	623	208	831	615	204	821	575	757	500	272	860	617	779	622	774	600	249	849
"MA"	2006	"Amherst"		"1"	1	453		506	437	49	486	329	440	443	42	520	272	490	322	467	461	51	512
"MA"	2006	"Amherst"		"10"	1	325		347	313	28	341	242	314	320	23	357	191	344	236	332	323	27	350
"MA"	2006	"Amherst"		"10A"	1	84		87	81	9	92	63	85	82	7	96	70	89	72	88	84	8	93
"MA"	2006	"Amherst"		"2"	1	825		920	799	78	878	679	788	797	109	946	603	871	675	841	830	94	924
"MA"	2006	"Amherst"		"3"	1	343		395	338	41	379	281	346	335	51	405	252	374	294	358	345	48	394
"MA"	2006	"Amherst"		"3A"	1	89		97	81	15	96	70	95	88	8	103	70	99	75	96	88	13	101
"MA"	2006	"Amherst"		"4"	1	324		361	308	35	343	261	307	302	46	365	231	330	261	319	323	34	358
"MA"	2006	"Amherst"		"4A"	1	85		92	84	9	93	69	89	89	9	103	78	92	77	92	94	5	99
"MA"	2006	"Amherst"		"5"	1	604		683	594	71	667	500	625	603	76	713	441	660	491	639	631	67	698
"MA"	2006	"Amherst"		"6"	1	1045		1167	1014	123	1137	872	1044	998	143	1203	742	1120	837	1072	1042	140	1183
"MA"	2006	"Amherst"		"7"	1	811		934	783	119	904	689	841	797	119	961	569	893	672	868	822	121	944
"MA"	2006	"Amherst"		"8"	1	1271		1433	1247	155	1404	1071	1274	1227	189	1481	884	1373	1062	1330	1264	184	1451
"MA"	2006	"Amherst"		"9"	1	825		900	810	74	885	641	810	796	82	933	557	880	637	853	844	72	920
"MA"	2006	"Amherst"		"9A"	1	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0
"MA"	2006	"Andover"		"1"	5	1068		1087	1009	429	1439	1034	1240	821	581	1486	1042	1316	1076	1287	933	510	1444
"MA"	2006	"Andover"		"2"	5	979		1007	882	452	1337	955	1185	653	636	1385	986	1221	992	1202	802	543	1345
"MA"	2006	"Andover"		"3"	5	1118		1147	1034	475	1509	1063	1311	820	640	1556	1113	1373	1122	1342	952	559	1514
"MA"	2006	"Andover"		"4"	5	909		921	831	422	1254	887	1112	600	630	1311	935	1138	933	1126	742	518	1263
"MA"	2006	"Andover"		"5"	5	1069		1087	894	512	1407	1008	1244	655	717	1475	998	1278	1021	1262	851	588	1440
"MA"	2006	"Andover"		"6"	5	996		1036	869	558	1430	998	1255	625	774	1495	1025	1300	1024	1278	815	628	1450
"MA"	2006	"Andover"		"7"	5	1076		1102	952	517	1469	1038	1306	741	683	1537	1096	1331	1102	1314	897	588	1485
"MA"	2006	"Andover"		"8"	5	1147		1189	1024	588	1612	1142	1396	773	798	1673	1165	1444	1172	1430	959	675	1637
"MA"	2006	"Andover"		"9"	5	1069		1086	905	534	1439	1021	1261	707	695	1501	1044	1307	1058	1273	884	584	1469
"MA"	2006	"Aquinnah"		"1"	10	178	17	207	178	18	196	153	183	176	20	213	159	203	159	202	197	15	212
"MA"	2006	"Arlington"		"1"	7	499		507	491	108	600	451	543	416	140	616	465	581	466	624	491	114	607
"MA"	2006	"Arlington"		"10"	7	873		893	869	197	1068	764	949	730	281	1100	730	1013	781	982	855	221	1078
"MA"	2006	"Arlington"		"11"	7	824		832	795	209	1004	772	900	620	336	1034	698	937	769	917	780	233	1017
"MA"	2006	"Arlington"		"12"	7	958		970	965	216	1181	861	1041	774	328	1220	815	1104	853	1045	939	249	1191
"MA"	2006	"Arlington"		"13"	7	784		797	713	326	1039	777	923	522	430	1057	765	956	768	932	690	339	1031
"MA"	2006	"Arlington"		"14"	7	742		756	724	185	910	647	810	609	235	930	602	871	651	837	719	185	909
"MA"	2006	"Arlington"		"15"	7	855		870	820	229	1052	770	954	683	306	1075	773	1008	802	971	813	230	1045
"MA"	2006	"Arlington"		"16"	7	851		870	819	237	1056	769	949	693	293	1091	723	1007	778	971	820	240	1062
"MA"	2006	"Arlington"		"17"	7	500		511	462	142	604	449	556	401	160	612	430	574	442	561	466	141	607
"MA"	2006	"Arlington"		"18"	7	775		796	730	282	1013	747	886	561	396	1037	745	925	765	904	714	296	1014
"MA"	2006	"Arlington"		"19"	7	844		864	817	220	1037	771	945	656	283	1055	738	989	741	958	818	217	1036
"MA"	2006	"Arlington"		"2"	7	747		757	688	221	912	694	825	581	268	945	671	869	706	857	693	227	924
"MA"	2006	"Arlington"		"20"	7	775		783	741	178	919	703	837	651	220	946	636	875	693	851	745	177	923
"MA"	2006	"Arlington"		"21"	7	755		766	759	149	908	675	833	629	217	930	637	873	693	855	731	179	913
"MA"	2006	"Arlington"		"3"	7	716		726	700	138	839	635	763	632	183	877	598	798	614	777	709	140	849
"MA"	2006	"Arlington"		"4"	7	698		712	658	143	801	597	734	569	177	828	567	774	591	761	680	131	812
"MA"	2006	"Arlington"		"5"	7	712		722	675	152	827	640	764	552	213	848	621	790	631	775	668	168	838
"MA"	2006	"Arlington"		"6"	7	759		771	731	173	904	675	818	609	245	931	653	870	666	842	728	183	913
"MA"	2006	"Arlington"		"7"	7	652		664	652	155	808	580	718	549	212	831	569	769	589	745	637	175	815
"MA"	2006	"Arlington"		"8"	7	896		908	888	148	1036	761	928	810	194	1078	643	1000	749	969	893	175	1069
"MA"	2006	"Arlington"		"9"	7	814		825	761	210	971	727	876	628	286	995	726	922	737	892	756	221	982
"MA"	2006	"Ashburnham"		"1"	1	1607		2191	1501	758	2259	1541	2081	1179	937	2364	1710	2131	1698	2121	1408	907	2315
"MA"	2006	"Ashby"		"1"	1	819		1225	793	486	1280	824	1169	581	592	1333	907	1194	907	1187	716	587	1306
"MA"	2006	"Ashfield"		"1"	1	702		859	694	132	886	639	766	693	135	882	574	815	615	801	711	154	865
"MA"	2006	"Ashland"		"1"	3	1216		1231	1138	396	1534	1152	1406	806	604	1567	1153	1430	1194	1423	1035	504	1541
"MA"	2006	"Ashland"		"2"	3	1198		1213	1138	466	1604	1151	1423	814	667	1645	1179	1455	1211	1448	1059	554	1614
"MA"	2006	"Ashland"		"3"	3	1065		1077	984	356	1342	1016	1236	690	540	1373	1029	1261	1054	1255	911	429	1348
"MA"	2006	"Ashland"		"4"	3	1122		1140	1053	355	1412	1090	1307	810	520	1458	1087	1345	1122	1328	1001	422	1427
"MA"	2006	"Athol"		"1"	1	931		1170	817	369	1188	831	1107	669	442	1250	931	1136	915	1128	785	432	1221
"MA"	2006	"Athol"		"2"	1	732		956	629	341	971	653	923	540	371	1006	759	934	737	927	599	393	993
"MA"	2006	"Athol"		"3"	1	743		942	671	284	959	657	889	545	317	988	755	904	722	894	646	331	978
"MA"	2006	"Attleboro"	"1"	"A"	3	850		850	731	282	1013	685	964	516	449	1053	793	977	774	975	681	361	1042
"MA"	2006	"Attleboro"	"1"	"B"	3	857		857	697	315	1012	707	939	551	422	1059	815	963	799	955	681	356	1037
"MA"	2006	"Attleboro"	"2"	"A"	3	931		931	754	395	1149	820	1054	578	552	1214	883	1067	877	1066	725	464	1189
"MA"	2006	"Attleboro"	"2"	"B"	3	994		994	843	429	1272	839	1158	644	572	1321	955	1173	949	1179	812	497	1309
"MA"	2006	"Attleboro"	"3"	"A"	3	794		794	661	327	988	689	914	521	427	1034	758	923	746	920	643	377	1020
"MA"	2006	"Attleboro"	"3"	"B"	3	1028		1028	881	405	1286	877	1171	661	565	1337	966	1197	967	1188	834	480	1314
"MA"	2006	"Attleboro"	"4"	"A"	3	591		591	500	212	712	475	659	382	277	742	562	670	534	662	470	255	725
"MA"	2006	"Attleboro"	"4"	"B"	3	1042		1042	850	456	1306	911	1176	647	631	1383	1017	1217	1020	1210	801	554	1355
"MA"	2006	"Attleboro"	"5"	"A"	3	484		484	405	166	571	385	536	320	211	586	439	538	433	534	403	184	587
"MA"	2006	"Attleboro"	"5"	"B"	3	847		847	698	343	1041	709	953	524	463	1077	787	972	779	977	679	383	1062
"MA"	2006	"Attleboro"	"6"	"A"	3	766		766	664	295	959	657	893	489	431	1000	751	902	724	901	630	357	987
"MA"	2006	"Attleboro"	"6"	"B"	3	850		850	700	354	1054	739	979	510	492	1094	817	987	816	984	660	417	1077
"MA"	2006	"Auburn"		"1"	3	1002		1010	866	399	1267	878	1136	725	473	1327	969	1188	966	1166	808	473	1282
"MA"	2006	"Auburn"		"2"	3	987		993	846	349	1196	867	1098	721	408	1266	976	1140	951	1126	808	422	1232
"MA"	2006	"Auburn"		"3"	3	1073		1077	936	376	1312	984	1185	801	441	1361	1052	1221	1035	1204	891	436	1331
"MA"	2006	"Auburn"		"4"	3	994		1001	834	356	1190	853	1102	712	408	1240	938	1115	922	1111	817	398	1216
"MA"	2006	"Auburn"		"5"	3	977		988	832	365	1197	864	1109	689	427	1255	967	1129	944	1119	799	412	1213
"MA"	2006	"Avon"		"1"	9	1356	396	1753	1254	502	1757	1324	1647	820	730	1826	1499	1706	1445	1682	1187	590	1783
"MA"	2006	"Ayer"		"1"	5	999		999	916	353	1269	906	1152	648	501	1294	981	1197	960	1168	820	449	1269
"MA"	2006	"Ayer"		"2"	5	840		840	713	337	1050	730	954	514	455	1081	780	981	798	967	673	392	1065
"MA"	2006	"Barnstable"		"1"	10	1107	776	1996	1159	788	1949	1318	1675	824	969	2016	1393	1767	1370	1741	1139	850	1992
"MA"	2006	"Barnstable"		"10"	10	884	546	1559	943	583	1526	1059	1387	629	768	1587	1173	1430	1148	1422	931	631	1562
"MA"	2006	"Barnstable"		"11"	10	1037	723	1899	1129	737	1866	1252	1642	711	969	1933	1376	1704	1299	1673	1077	825	1902
"MA"	2006	"Barnstable"		"12"	10	861	482	1462	891	536	1427	960	1300	595	695	1484	1070	1341	1057	1339	912	563	1475
"MA"	2006	"Barnstable"		"13"	10	701	346	1152	714	398	1115	783	1021	503	468	1155	845	1054	833	1039	767	378	1148
"MA"	2006	"Barnstable"		"2"	10	979	565	1670	1032	599	1632	1148	1484	717	770	1696	1241	1532	1193	1515	1040	628	1670
"MA"	2006	"Barnstable"		"3"	10	764	385	1226	817	387	1205	854	1119	553	517	1242	947	1137	897	1129	795	444	1242
"MA"	2006	"Barnstable"		"4"	10	909	587	1609	958	625	1583	1053	1403	604	821	1636	1164	1458	1128	1445	958	660	1622
"MA"	2006	"Barnstable"		"5"	10	943	720	1752	974	757	1732	1135	1456	566	1029	1784	1218	1530	1171	1504	935	815	1752
"MA"	2006	"Barnstable"		"6"	10	928	564	1596	994	571	1568	1079	1433	636	775	1620	1217	1470	1160	1457	957	640	1603
"MA"	2006	"Barnstable"		"7"	10	1088	706	1933	1128	763	1891	1303	1694	711	990	1951	1410	1750	1368	1729	1141	779	1922
"MA"	2006	"Barnstable"		"8"	10	596	297	965	630	326	958	685	900	452	390	984	758	904	724	897	623	345	969
"MA"	2006	"Barnstable"		"9"	10	471	156	695	504	174	679	492	643	367	219	702	533	653	511	655	520	175	695
"MA"	2006	"Barre"		"1"	1	755		976	660	359	1019	697	930	606	370	1074	790	962	772	953	679	373	1052
"MA"	2006	"Barre"		"2"	1	641		827	549	313	862	627	806	461	334	908	678	828	655	812	552	338	893
"MA"	2006	"Becket"		"1"	1	433		554	421	136	557	399	516	393	143	582	433	534	426	525	418	155	573
"MA"	2006	"Bedford"		"1"	6	1033	462	1495	1039	467	1507	1088	1350	855	578	1557	1081	1404	1099	1367	1044	480	1524
"MA"	2006	"Bedford"		"2"	6	710	333	1043	755	315	1071	769	940	522	455	1106	779	969	800	950	728	348	1077
"MA"	2006	"Bedford"		"3"	6	1068	488	1557	1108	461	1569	1117	1362	908	589	1611	1100	1424	1155	1391	1069	509	1579
"MA"	2006	"Bedford"		"4"	6	867	461	1329	899	460	1360	915	1162	708	577	1391	910	1214	945	1178	878	485	1365
"MA"	2006	"Belchertown"		"A"	1	845		1105	805	306	1112	795	1013	727	352	1178	826	1053	843	1037	812	344	1157
"MA"	2006	"Belchertown"		"B"	1	907		1203	825	389	1214	853	1105	698	458	1260	939	1156	970	1147	818	427	1247
"MA"	2006	"Belchertown"		"C"	1	1009		1356	926	440	1367	978	1238	772	539	1441	1053	1278	1064	1279	889	527	1416
"MA"	2006	"Belchertown"		"D"	1	901		1148	871	270	1141	799	1040	796	297	1200	806	1105	834	1071	879	302	1182
"MA"	2006	"Bellingham"		"1"	2	890		904	805	359	1165	793	1069	556	505	1203	923	1101	917	1091	741	435	1178
"MA"	2006	"Bellingham"		"2"	2	844		857	786	329	1115	790	1030	538	488	1162	878	1045	864	1041	723	405	1129
"MA"	2006	"Bellingham"		"3"	2	945		955	833	372	1206	864	1121	578	509	1228	935	1128	946	1123	778	436	1215
"MA"	2006	"Bellingham"		"4"	2	929		944	819	389	1209	810	1099	561	531	1247	934	1127	936	1116	745	482	1230
"MA"	2006	"Bellingham"		"5"	2	803		816	720	287	1007	711	929	516	428	1046	796	943	796	944	670	353	1025
"MA"	2006	"Belmont"		"1"	7	1074		1089	981	416	1402	1035	1206	880	475	1455	982	1286	1020	1235	1014	400	1418
"MA"	2006	"Belmont"		"2"	7	1076		1088	874	598	1473	1044	1226	774	662	1518	1021	1300	1034	1248	988	493	1481
"MA"	2006	"Belmont"		"3"	7	875		888	779	304	1084	825	966	700	327	1129	796	1017	812	984	838	276	1115
"MA"	2006	"Belmont"		"4"	7	942		958	809	333	1142	885	1060	718	356	1182	862	1091	861	1070	859	309	1169
"MA"	2006	"Belmont"		"5"	7	1003		1015	860	414	1274	942	1121	758	435	1308	926	1172	954	1151	914	370	1285
"MA"	2006	"Belmont"		"6"	7	1162		1174	1064	380	1445	1067	1263	943	428	1488	1029	1331	1060	1275	1121	329	1453
"MA"	2006	"Belmont"		"7"	7	1037		1049	901	352	1256	958	1152	793	371	1284	914	1179	944	1163	944	319	1267
"MA"	2006	"Belmont"		"8"	7	1092		1108	932	607	1539	1124	1346	768	687	1586	1129	1407	1139	1364	960	590	1550
"MA"	2006	"Berkley"		"1"	4	1596		1596	1371	675	2046	1298	1879	1000	924	2136	1486	1914	1493	1909	1290	820	2110
"MA"	2006	"Berlin"		"1"	5	924		927	777	441	1218	847	1103	561	567	1266	875	1135	881	1129	740	499	1239
"MA"	2006	"Bernardston"		"1"	1	664		878	651	224	875	613	802	578	254	908	675	817	678	814	625	277	902
"MA"	2006	"Beverly"	"1"	"1"	6	762	358	1120	783	327	1110	814	1018	563	490	1148	853	1034	891	1053	730	401	1131
"MA"	2006	"Beverly"	"1"	"2"	6	982	383	1365	973	389	1362	991	1255	724	577	1428	1074	1273	1119	1293	955	427	1382
"MA"	2006	"Beverly"	"2"	"1"	6	689	223	912	678	219	897	682	831	510	322	947	722	854	729	862	670	248	918
"MA"	2006	"Beverly"	"2"	"2"	6	798	298	1096	795	283	1078	769	968	656	366	1131	791	1011	833	1004	780	322	1102
"MA"	2006	"Beverly"	"3"	"1"	6	549	200	749	540	199	739	556	691	427	268	771	587	694	597	700	529	225	754
"MA"	2006	"Beverly"	"3"	"2"	6	766	291	1057	768	294	1062	760	987	541	453	1101	808	1003	854	1009	750	325	1075
"MA"	2006	"Beverly"	"4"	"1"	6	902	369	1271	871	373	1244	930	1099	706	509	1312	944	1144	1004	1162	889	380	1269
"MA"	2006	"Beverly"	"4"	"2"	6	1115	416	1531	1128	390	1518	1081	1332	885	571	1567	1119	1397	1200	1405	1084	453	1537
"MA"	2006	"Beverly"	"5"	"1"	6	0	924	1371	952	401	1353	997	1223	683	645	1423	1045	1250	1105	1270	909	475	1384
"MA"	2006	"Beverly"	"5"	"2"	6	931	453	1384	929	425	1354	994	1202	685	634	1432	1055	1238	1102	1249	902	481	1383
"MA"	2006	"Beverly"	"6"	"1"	6	944	593	1537	996	526	1522	1105	1325	768	734	1599	1115	1370	1177	1370	978	579	1557
"MA"	2006	"Beverly"	"6"	"2"	6	1024	575	1599	1055	525	1580	1176	1417	768	781	1656	1200	1441	1272	1470	992	622	1614
"MA"	2006	"Billerica"		"1"	5	929		952	842	365	1208	821	1116	554	511	1236	937	1139	897	1124	768	442	1213
"MA"	2006	"Billerica"		"10"	5	1011		1043	951	361	1312	928	1210	603	563	1329	1036	1227	1010	1208	812	490	1302
"MA"	2006	"Billerica"		"11"	5	833		862	783	350	1136	750	1044	471	533	1158	858	1068	859	1054	692	442	1136
"MA"	2006	"Billerica"		"2"	5	950		975	860	381	1242	886	1149	580	536	1264	983	1173	965	1164	775	464	1242
"MA"	2006	"Billerica"		"3"	5	954		983	857	382	1239	860	1145	527	579	1251	976	1163	938	1153	776	461	1240
"MA"	2006	"Billerica"		"4"	5	919		956	823	402	1225	873	1131	523	597	1245	927	1146	922	1131	727	487	1218
"MA"	2006	"Billerica"		"5"	5	1046		1087	929	488	1418	973	1316	588	690	1445	1088	1334	1035	1303	823	591	1416
"MA"	2006	"Billerica"		"6"	5	753		784	673	342	1016	705	927	422	514	1044	772	946	760	930	598	420	1019
"MA"	2006	"Billerica"		"7"	5	824		855	753	391	1145	744	1029	495	551	1172	817	1043	807	1026	682	464	1146
"MA"	2006	"Billerica"		"8"	5	898		934	836	432	1269	846	1149	522	618	1301	953	1165	913	1148	744	526	1271
"MA"	2006	"Billerica"		"9"	5	871		902	763	382	1147	792	1045	471	534	1161	872	1060	847	1045	703	434	1139
"MA"	2006	"Blackstone"		"1"	2	714		720	625	227	852	623	793	472	326	891	670	810	679	806	600	271	872
"MA"	2006	"Blackstone"		"2"	2	777		778	663	284	947	678	895	480	402	984	757	923	758	919	615	348	963
"MA"	2006	"Blackstone"		"3"	2	841		845	686	363	1049	719	974	497	485	1083	809	985	793	982	625	437	1062
"MA"	2006	"Blandford"		"1"	1	306		454	292	173	465	286	415	221	205	481	325	424	323	422	259	217	477
"MA"	2006	"Bolton"		"1"	5	1567		1603	1325	766	2091	1455	1793	1036	968	2184	1420	1839	1472	1802	1241	883	2127
"MA"	2006	"Boston"	"1"	"1"	8	394		426	337	95	433	369	422	279	158	483	351	422	354	412	360	89	449
"MA"	2006	"Boston"	"1"	"10"	8	164		183	141	52	193	162	187	116	86	221	171	183	157	180	175	40	215
"MA"	2006	"Boston"	"1"	"11"	8	482		538	400	163	563	480	541	273	294	633	481	539	465	527	443	133	577
"MA"	2006	"Boston"	"1"	"12"	8	508		574	418	192	610	523	588	297	315	668	497	567	482	555	449	168	618
"MA"	2006	"Boston"	"1"	"13"	8	584		664	475	218	693	620	682	411	294	765	583	655	548	635	527	184	713
"MA"	2006	"Boston"	"1"	"14"	8	314		355	253	119	372	330	370	219	156	409	312	354	314	351	280	98	378
"MA"	2006	"Boston"	"1"	"15"	8	3		4	4	0	4	3	4	4	0	4	4	4	3	4	4	0	4
"MA"	2006	"Boston"	"1"	"2"	8	254		278	221	63	284	265	285	190	94	316	238	270	224	260	243	53	296
"MA"	2006	"Boston"	"1"	"3"	8	489		542	447	111	560	462	529	420	176	629	463	535	430	522	503	88	591
"MA"	2006	"Boston"	"1"	"4"	8	173		196	141	65	206	180	203	106	103	222	167	190	158	187	157	59	216
"MA"	2006	"Boston"	"1"	"5"	8	273		303	242	66	308	262	300	194	117	337	249	291	252	284	249	68	319
"MA"	2006	"Boston"	"1"	"6"	8	226		258	196	67	265	227	257	180	106	304	219	261	211	251	226	52	278
"MA"	2006	"Boston"	"1"	"7"	8	281		331	276	60	339	261	317	238	107	377	267	325	260	316	293	66	362
"MA"	2006	"Boston"	"1"	"8"	8	340		398	326	93	419	338	406	280	142	460	341	402	325	392	340	84	424
"MA"	2006	"Boston"	"1"	"9"	8	267		297	233	71	306	268	299	195	121	340	252	292	248	289	253	54	307
"MA"	2006	"Boston"	"10"	"1"	8	247		286	269	38	307	244	279	293	43	355	256	298	248	286	299	38	337
"MA"	2006	"Boston"	"10"	"2"	8	304		338	320	31	352	276	332	333	45	402	286	344	272	335	351	32	384
"MA"	2006	"Boston"	"10"	"3"	8	266		312	280	36	317	257	306	264	55	355	257	316	251	316	288	43	332
"MA"	2006	"Boston"	"10"	"4"	8	479		533	542	53	596	457	522	587	68	680	500	568	478	550	614	42	657
"MA"	2006	"Boston"	"10"	"5"	8	361		418	387	55	443	332	404	368	77	478	337	428	333	415	409	57	466
"MA"	2006	"Boston"	"10"	"6"	8	297		340	323	35	358	273	338	357	32	401	286	349	279	339	355	31	387
"MA"	2006	"Boston"	"10"	"7"	8	355		405	394	30	425	348	402	508	30	547	373	416	370	409	471	26	498
"MA"	2006	"Boston"	"10"	"8"	8	453		522	503	51	555	421	506	497	62	598	419	542	409	526	537	48	586
"MA"	2006	"Boston"	"10"	"9"	8	682		756	704	81	786	609	729	701	87	832	548	760	576	745	737	79	819
"MA"	2006	"Boston"	"11"	"1"	8	307		335	337	18	355	272	329	367	6	383	266	343	277	331	359	7	367
"MA"	2006	"Boston"	"11"	"10"	8	513		594	566	44	612	428	560	566	48	655	392	613	413	586	592	55	648
"MA"	2006	"Boston"	"11"	"2"	8	402		432	443	16	459	379	426	549	12	572	416	446	411	439	510	20	530
"MA"	2006	"Boston"	"11"	"3"	8	312		328	356	12	368	304	333	397	14	418	313	343	310	334	386	14	400
"MA"	2006	"Boston"	"11"	"4"	8	417		496	589	41	634	484	594	645	41	709	504	618	508	604	636	37	674
"MA"	2006	"Boston"	"11"	"5"	8	426		492	475	35	513	380	485	554	32	600	396	508	392	495	527	25	553
"MA"	2006	"Boston"	"11"	"6"	8	373		453	443	35	478	330	428	443	39	516	300	469	322	451	456	41	498
"MA"	2006	"Boston"	"11"	"7"	8	574		659	633	36	670	501	637	616	42	727	446	672	486	645	665	33	700
"MA"	2006	"Boston"	"11"	"8"	8	572		657	630	60	693	515	639	626	76	738	471	676	487	660	656	61	718
"MA"	2006	"Boston"	"11"	"9"	8	399		482	448	42	490	320	433	426	58	531	289	481	320	467	468	54	523
"MA"	2006	"Boston"	"12"	"1"	8	507		540	571	19	590	505	556	668	12	689	538	572	534	565	646	12	659
"MA"	2006	"Boston"	"12"	"2"	8	628		666	666	27	693	607	664	790	9	801	533	591	643	688	743	16	761
"MA"	2006	"Boston"	"12"	"3"	8	334		365	367	18	386	337	369	419	9	432	349	373	342	368	394	9	403
"MA"	2006	"Boston"	"12"	"4"	8	308		333	345	10	355	293	327	391	6	401	306	339	306	332	360	14	374
"MA"	2006	"Boston"	"12"	"5"	8	237		254	278	5	285	246	263	342	1	345	246	265	244	262	318	6	324
"MA"	2006	"Boston"	"12"	"6"	8	265		286	290	11	301	251	279	335	6	346	285	303	270	291	324	6	330
"MA"	2006	"Boston"	"12"	"7"	8	639		673	695	21	717	633	679	791	17	818	659	694	655	686	762	18	780
"MA"	2006	"Boston"	"12"	"8"	8	224		243	237	14	252	213	237	278	10	291	221	246	234	248	272	9	283
"MA"	2006	"Boston"	"12"	"9"	8	296		320	334	15	349	278	311	396	4	406	297	323	303	325	369	11	380
"MA"	2006	"Boston"	"13"	"1"	8	328		378	387	20	408	330	384	493	8	510	363	397	359	392	451	10	461
"MA"	2006	"Boston"	"13"	"10"	9	732	100	837	735	133	868	661	791	534	282	902	678	832	677	825	690	176	871
"MA"	2006	"Boston"	"13"	"2"	8	126		148	152	12	164	129	148	176	10	191	151	163	139	153	171	7	178
"MA"	2006	"Boston"	"13"	"3"	9	346	51	399	354	47	403	320	380	417	52	487	353	402	340	386	394	44	438
"MA"	2006	"Boston"	"13"	"4"	8	234		263	265	7	272	239	257	321	5	327	251	269	251	273	310	6	316
"MA"	2006	"Boston"	"13"	"5"	8	207		238	235	13	249	201	232	274	16	305	208	245	206	247	256	18	275
